participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
6149a2480ec7bd14c9fe92a5,2023-06-16_10h30.36.674,phx_ver10,2022.2.5,Win32,60.03121623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6149a2480ec7bd14c9fe92a5,2023-06-16_10h30.36.674,phx_ver10,2022.2.5,Win32,60.03121623,space,6.173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6149a2480ec7bd14c9fe92a5,2023-06-16_10h30.36.674,phx_ver10,2022.2.5,Win32,60.03121623,,,space,6.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6149a2480ec7bd14c9fe92a5,2023-06-16_10h30.36.674,phx_ver10,2022.2.5,Win32,60.03121623,,,,,space,1.5844,0,0,0,36,1,37,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6149a2480ec7bd14c9fe92a5,2023-06-16_10h30.36.674,phx_ver10,2022.2.5,Win32,60.03121623,,,,,space,0.9361,0,1,1,21,1,22,training,zh2x,e,zh2x_e,zh2x_3_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6149a2480ec7bd14c9fe92a5,2023-06-16_10h30.36.674,phx_ver10,2022.2.5,Win32,60.03121623,,,,,space,0.1677,0,2,2,25,1,26,training,zh2x,e,zh2x_e,zh2x_6_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6149a2480ec7bd14c9fe92a5,2023-06-16_10h30.36.674,phx_ver10,2022.2.5,Win32,60.03121623,,,,,space,0.239,0,3,3,33,1,34,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6149a2480ec7bd14c9fe92a5,2023-06-16_10h30.36.674,phx_ver10,2022.2.5,Win32,60.03121623,,,,,space,0.4508,0,4,4,19,1,20,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6149a2480ec7bd14c9fe92a5,2023-06-16_10h30.36.674,phx_ver10,2022.2.5,Win32,60.03121623,,,,,space,3.9924,0,5,5,17,1,18,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6149a2480ec7bd14c9fe92a5,2023-06-16_10h30.36.674,phx_ver10,2022.2.5,Win32,60.03121623,,,,,,,,,,,,,attn_test,,,,zh2x_8_exe.wav,zh2x_8_axa.wav,exe.jpg,LEFT,,f,0.8732,space,2.1529,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
6149a2480ec7bd14c9fe92a5,2023-06-16_10h30.36.674,phx_ver10,2022.2.5,Win32,60.03121623,,,,,space,1.0342,0,6,6,7,1,8,training,zh2x,a,zh2x_a,zh2x_4_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6149a2480ec7bd14c9fe92a5,2023-06-16_10h30.36.674,phx_ver10,2022.2.5,Win32,60.03121623,,,,,space,0.0487,0,7,7,11,1,12,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6149a2480ec7bd14c9fe92a5,2023-06-16_10h30.36.674,phx_ver10,2022.2.5,Win32,60.03121623,,,,,space,0.9343,0,8,8,15,1,16,training,zh2x,a,zh2x_a,zh2x_8_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6149a2480ec7bd14c9fe92a5,2023-06-16_10h30.36.674,phx_ver10,2022.2.5,Win32,60.03121623,,,,,space,0.3924,0,9,9,10,1,11,training,zh2x,a,zh2x_a,zh2x_6_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6149a2480ec7bd14c9fe92a5,2023-06-16_10h30.36.674,phx_ver10,2022.2.5,Win32,60.03121623,,,,,space,0.0683,0,10,10,8,1,9,training,zh2x,a,zh2x_a,zh2x_5_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6149a2480ec7bd14c9fe92a5,2023-06-16_10h30.36.674,phx_ver10,2022.2.5,Win32,60.03121623,,,,,space,0.3688,0,11,11,28,1,29,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6149a2480ec7bd14c9fe92a5,2023-06-16_10h30.36.674,phx_ver10,2022.2.5,Win32,60.03121623,,,,,,,,,,,,,attn_test,,,,zh2x_1_izhi.wav,zh2x_1_azha.wav,azha.jpg,RIGHT,,f,1.5677,space,2.5171,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
