participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
61fa936e5719bc09cb834cbe,2023-06-16_14h12.39.674,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61fa936e5719bc09cb834cbe,2023-06-16_14h12.39.674,phx_ver10,2022.2.5,MacIntel,60.0024001,space,0.3345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61fa936e5719bc09cb834cbe,2023-06-16_14h12.39.674,phx_ver10,2022.2.5,MacIntel,60.0024001,,,space,1.2115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61fa936e5719bc09cb834cbe,2023-06-16_14h12.39.674,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,2.7826,0,0,0,18,1,19,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61fa936e5719bc09cb834cbe,2023-06-16_14h12.39.674,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,1.4519,0,1,1,17,1,18,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61fa936e5719bc09cb834cbe,2023-06-16_14h12.39.674,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,1.4471,0,2,2,43,1,44,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61fa936e5719bc09cb834cbe,2023-06-16_14h12.39.674,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,0.7327,0,3,3,28,1,29,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61fa936e5719bc09cb834cbe,2023-06-16_14h12.39.674,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,0.9337,0,4,4,6,1,7,training,zh2x,a,zh2x_a,zh2x_3_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61fa936e5719bc09cb834cbe,2023-06-16_14h12.39.674,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,0.0476,0,5,5,0,1,1,training,zh2x,a,zh2x_a,zh2x_1_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61fa936e5719bc09cb834cbe,2023-06-16_14h12.39.674,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,,,,,,,,,attn_test,,,,zh2x_8_ixi.wav,zh2x_1_ezhe.wav,ezhe.jpg,RIGHT,,j,1.6841,space,2.9234,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
61fa936e5719bc09cb834cbe,2023-06-16_14h12.39.674,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,1.3599,0,6,6,19,1,20,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61fa936e5719bc09cb834cbe,2023-06-16_14h12.39.674,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,1.54,0,7,7,13,1,14,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61fa936e5719bc09cb834cbe,2023-06-16_14h12.39.674,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,1.1697,0,8,8,38,1,39,training,zh2x,i,zh2x_i,zh2x_3_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61fa936e5719bc09cb834cbe,2023-06-16_14h12.39.674,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,1.4028,0,9,9,4,1,5,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61fa936e5719bc09cb834cbe,2023-06-16_14h12.39.674,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,1.7717,0,10,10,40,1,41,training,zh2x,i,zh2x_i,zh2x_5_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61fa936e5719bc09cb834cbe,2023-06-16_14h12.39.674,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,1.6648,0,11,11,3,1,4,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61fa936e5719bc09cb834cbe,2023-06-16_14h12.39.674,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,,,,,,,,,attn_test,,,,zh2x_8_ixi.wav,zh2x_8_axa.wav,ixi.jpg,LEFT,,f,0.6312,space,1.3135,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
61fa936e5719bc09cb834cbe,2023-06-16_14h12.39.674,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,1.0155,0,12,12,42,1,43,training,zh2x,i,zh2x_i,zh2x_6_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61fa936e5719bc09cb834cbe,2023-06-16_14h12.39.674,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,0.852,0,13,13,23,1,24,training,zh2x,e,zh2x_e,zh2x_4_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61fa936e5719bc09cb834cbe,2023-06-16_14h12.39.674,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,0.5717,0,14,14,16,1,17,training,zh2x,e,zh2x_e,zh2x_1_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
