participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
6235d96c087939dba5586d97,2023-06-16_10h29.39.661,phx_ver10,2022.2.5,Win32,60.07449237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6235d96c087939dba5586d97,2023-06-16_10h29.39.661,phx_ver10,2022.2.5,Win32,60.07449237,space,7.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6235d96c087939dba5586d97,2023-06-16_10h29.39.661,phx_ver10,2022.2.5,Win32,60.07449237,,,space,3.4296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6235d96c087939dba5586d97,2023-06-16_10h29.39.661,phx_ver10,2022.2.5,Win32,60.07449237,,,,,space,3.7334,0,0,0,17,1,18,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6235d96c087939dba5586d97,2023-06-16_10h29.39.661,phx_ver10,2022.2.5,Win32,60.07449237,,,,,space,3.3006,0,1,1,1,1,2,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6235d96c087939dba5586d97,2023-06-16_10h29.39.661,phx_ver10,2022.2.5,Win32,60.07449237,,,,,space,2.3506,0,2,2,19,1,20,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6235d96c087939dba5586d97,2023-06-16_10h29.39.661,phx_ver10,2022.2.5,Win32,60.07449237,,,,,space,2.6007,0,3,3,43,1,44,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6235d96c087939dba5586d97,2023-06-16_10h29.39.661,phx_ver10,2022.2.5,Win32,60.07449237,,,,,space,3.2342,0,4,4,7,1,8,training,zh2x,a,zh2x_a,zh2x_4_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6235d96c087939dba5586d97,2023-06-16_10h29.39.661,phx_ver10,2022.2.5,Win32,60.07449237,,,,,space,2.5347,0,5,5,24,1,25,training,zh2x,e,zh2x_e,zh2x_5_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6235d96c087939dba5586d97,2023-06-16_10h29.39.661,phx_ver10,2022.2.5,Win32,60.07449237,,,,,,,,,,,,,attn_test,,,,zh2x_1_azha.wav,zh2x_8_axa.wav,azha.jpg,LEFT,,f,4.5334,space,5.2998,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
6235d96c087939dba5586d97,2023-06-16_10h29.39.661,phx_ver10,2022.2.5,Win32,60.07449237,,,,,space,1.384,0,6,6,20,1,21,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6235d96c087939dba5586d97,2023-06-16_10h29.39.661,phx_ver10,2022.2.5,Win32,60.07449237,,,,,space,1.5676,0,7,7,12,1,13,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6235d96c087939dba5586d97,2023-06-16_10h29.39.661,phx_ver10,2022.2.5,Win32,60.07449237,,,,,space,0.8675,0,8,8,47,1,48,training,zh2x,i,zh2x_i,zh2x_8_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6235d96c087939dba5586d97,2023-06-16_10h29.39.661,phx_ver10,2022.2.5,Win32,60.07449237,,,,,space,0.6006,0,9,9,40,1,41,training,zh2x,i,zh2x_i,zh2x_5_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6235d96c087939dba5586d97,2023-06-16_10h29.39.661,phx_ver10,2022.2.5,Win32,60.07449237,,,,,space,1.5008,0,10,10,39,1,40,training,zh2x,i,zh2x_i,zh2x_4_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6235d96c087939dba5586d97,2023-06-16_10h29.39.661,phx_ver10,2022.2.5,Win32,60.07449237,,,,,space,0.834,0,11,11,38,1,39,training,zh2x,i,zh2x_i,zh2x_3_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6235d96c087939dba5586d97,2023-06-16_10h29.39.661,phx_ver10,2022.2.5,Win32,60.07449237,,,,,,,,,,,,,attn_test,,,,zh2x_8_ixi.wav,zh2x_8_axa.wav,ixi.jpg,LEFT,,f,3.2174,space,3.9142,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
6235d96c087939dba5586d97,2023-06-16_10h29.39.661,phx_ver10,2022.2.5,Win32,60.07449237,,,,,space,0.7186,0,12,12,34,1,35,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6235d96c087939dba5586d97,2023-06-16_10h29.39.661,phx_ver10,2022.2.5,Win32,60.07449237,,,,,space,1.018,0,13,13,45,1,46,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6235d96c087939dba5586d97,2023-06-16_10h29.39.661,phx_ver10,2022.2.5,Win32,60.07449237,,,,,space,0.9773,0,14,14,18,1,19,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6235d96c087939dba5586d97,2023-06-16_10h29.39.661,phx_ver10,2022.2.5,Win32,60.07449237,,,,,space,0.6957,0,15,15,28,1,29,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6235d96c087939dba5586d97,2023-06-16_10h29.39.661,phx_ver10,2022.2.5,Win32,60.07449237,,,,,space,0.6943,0,16,16,9,1,10,training,zh2x,a,zh2x_a,zh2x_6_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6235d96c087939dba5586d97,2023-06-16_10h29.39.661,phx_ver10,2022.2.5,Win32,60.07449237,,,,,space,0.305,0,17,17,30,1,31,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6235d96c087939dba5586d97,2023-06-16_10h29.39.661,phx_ver10,2022.2.5,Win32,60.07449237,,,,,,,,,,,,,attn_test,,,,zh2x_8_exe.wav,zh2x_1_izhi.wav,exe.jpg,LEFT,,f,2.5009,space,3.5703,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
6235d96c087939dba5586d97,2023-06-16_10h29.39.661,phx_ver10,2022.2.5,Win32,60.07449237,,,,,space,0.7336,0,18,18,8,1,9,training,zh2x,a,zh2x_a,zh2x_5_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6235d96c087939dba5586d97,2023-06-16_10h29.39.661,phx_ver10,2022.2.5,Win32,60.07449237,,,,,space,0.2844,0,19,19,35,1,36,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6235d96c087939dba5586d97,2023-06-16_10h29.39.661,phx_ver10,2022.2.5,Win32,60.07449237,,,,,space,0.3505,0,20,20,26,1,27,training,zh2x,e,zh2x_e,zh2x_6_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6235d96c087939dba5586d97,2023-06-16_10h29.39.661,phx_ver10,2022.2.5,Win32,60.07449237,,,,,space,0.2506,0,21,21,4,1,5,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6235d96c087939dba5586d97,2023-06-16_10h29.39.661,phx_ver10,2022.2.5,Win32,60.07449237,,,,,space,0.2007,0,22,22,27,1,28,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6235d96c087939dba5586d97,2023-06-16_10h29.39.661,phx_ver10,2022.2.5,Win32,60.07449237,,,,,space,0.1012,0,23,23,32,1,33,training,zh2x,i,zh2x_i,zh2x_1_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6235d96c087939dba5586d97,2023-06-16_10h29.39.661,phx_ver10,2022.2.5,Win32,60.07449237,,,,,,,,,,,,,attn_test,,,,zh2x_8_exe.wav,zh2x_1_izhi.wav,izhi.jpg,RIGHT,,j,0.9003,space,1.5878,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
6235d96c087939dba5586d97,2023-06-16_10h29.39.661,phx_ver10,2022.2.5,Win32,60.07449237,,,,,space,1.5131,0,24,24,11,1,12,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6235d96c087939dba5586d97,2023-06-16_10h29.39.661,phx_ver10,2022.2.5,Win32,60.07449237,,,,,space,0.2508,0,25,25,6,1,7,training,zh2x,a,zh2x_a,zh2x_3_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6235d96c087939dba5586d97,2023-06-16_10h29.39.661,phx_ver10,2022.2.5,Win32,60.07449237,,,,,space,0.1227,0,26,26,33,1,34,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6235d96c087939dba5586d97,2023-06-16_10h29.39.661,phx_ver10,2022.2.5,Win32,60.07449237,,,,,space,0.001,0,27,27,31,1,32,training,zh2x,e,zh2x_e,zh2x_8_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6235d96c087939dba5586d97,2023-06-16_10h29.39.661,phx_ver10,2022.2.5,Win32,60.07449237,,,,,space,0.0839,0,28,28,14,1,15,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6235d96c087939dba5586d97,2023-06-16_10h29.39.661,phx_ver10,2022.2.5,Win32,60.07449237,,,,,space,0.0007,0,29,29,29,1,30,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6235d96c087939dba5586d97,2023-06-16_10h29.39.661,phx_ver10,2022.2.5,Win32,60.07449237,,,,,,,,,,,,,attn_test,,,,zh2x_1_izhi.wav,zh2x_8_exe.wav,exe.jpg,RIGHT,,j,0.4174,space,1.0866,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
6235d96c087939dba5586d97,2023-06-16_10h29.39.661,phx_ver10,2022.2.5,Win32,60.07449237,,,,,space,1.4672,0,30,30,0,1,1,training,zh2x,a,zh2x_a,zh2x_1_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6235d96c087939dba5586d97,2023-06-16_10h29.39.661,phx_ver10,2022.2.5,Win32,60.07449237,,,,,space,0.2059,0,31,31,16,1,17,training,zh2x,e,zh2x_e,zh2x_1_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6235d96c087939dba5586d97,2023-06-16_10h29.39.661,phx_ver10,2022.2.5,Win32,60.07449237,,,,,space,1.5845,0,32,32,23,1,24,training,zh2x,e,zh2x_e,zh2x_4_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6235d96c087939dba5586d97,2023-06-16_10h29.39.661,phx_ver10,2022.2.5,Win32,60.07449237,,,,,space,0.0339,0,33,33,41,1,42,training,zh2x,i,zh2x_i,zh2x_6_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6235d96c087939dba5586d97,2023-06-16_10h29.39.661,phx_ver10,2022.2.5,Win32,60.07449237,,,,,space,0.7511,0,34,34,13,1,14,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6235d96c087939dba5586d97,2023-06-16_10h29.39.661,phx_ver10,2022.2.5,Win32,60.07449237,,,,,space,0.7339,0,35,35,22,1,23,training,zh2x,e,zh2x_e,zh2x_3_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6235d96c087939dba5586d97,2023-06-16_10h29.39.661,phx_ver10,2022.2.5,Win32,60.07449237,,,,,,,,,,,,,attn_test,,,,zh2x_8_axa.wav,zh2x_8_ixi.wav,axa.jpg,LEFT,,f,0.8007,space,1.3867,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
6235d96c087939dba5586d97,2023-06-16_10h29.39.661,phx_ver10,2022.2.5,Win32,60.07449237,,,,,space,0.1892,0,36,36,3,1,4,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6235d96c087939dba5586d97,2023-06-16_10h29.39.661,phx_ver10,2022.2.5,Win32,60.07449237,,,,,space,0.0774,0,37,37,44,1,45,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6235d96c087939dba5586d97,2023-06-16_10h29.39.661,phx_ver10,2022.2.5,Win32,60.07449237,,,,,space,0.0505,0,38,38,37,1,38,training,zh2x,i,zh2x_i,zh2x_3_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6235d96c087939dba5586d97,2023-06-16_10h29.39.661,phx_ver10,2022.2.5,Win32,60.07449237,,,,,space,0.9963,0,39,39,5,1,6,training,zh2x,a,zh2x_a,zh2x_3_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6235d96c087939dba5586d97,2023-06-16_10h29.39.661,phx_ver10,2022.2.5,Win32,60.07449237,,,,,space,0.5334,0,40,40,42,1,43,training,zh2x,i,zh2x_i,zh2x_6_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6235d96c087939dba5586d97,2023-06-16_10h29.39.661,phx_ver10,2022.2.5,Win32,60.07449237,,,,,space,0.3506,0,41,41,46,1,47,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6235d96c087939dba5586d97,2023-06-16_10h29.39.661,phx_ver10,2022.2.5,Win32,60.07449237,,,,,,,,,,,,,attn_test,,,,zh2x_8_axa.wav,zh2x_8_ixi.wav,ixi.jpg,RIGHT,,j,0.2836,space,1.181,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
6235d96c087939dba5586d97,2023-06-16_10h29.39.661,phx_ver10,2022.2.5,Win32,60.07449237,,,,,space,0.2183,0,42,42,36,1,37,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6235d96c087939dba5586d97,2023-06-16_10h29.39.661,phx_ver10,2022.2.5,Win32,60.07449237,,,,,space,0.113,0,43,43,15,1,16,training,zh2x,a,zh2x_a,zh2x_8_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6235d96c087939dba5586d97,2023-06-16_10h29.39.661,phx_ver10,2022.2.5,Win32,60.07449237,,,,,space,0.884,0,44,44,21,1,22,training,zh2x,e,zh2x_e,zh2x_3_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6235d96c087939dba5586d97,2023-06-16_10h29.39.661,phx_ver10,2022.2.5,Win32,60.07449237,,,,,space,0.0725,0,45,45,10,1,11,training,zh2x,a,zh2x_a,zh2x_6_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6235d96c087939dba5586d97,2023-06-16_10h29.39.661,phx_ver10,2022.2.5,Win32,60.07449237,,,,,space,0.5792,0,46,46,25,1,26,training,zh2x,e,zh2x_e,zh2x_6_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
