participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
62b39c0ea0a9909088d4270f,2023-06-16_11h01.37.697,phx_ver10,2022.2.5,Win32,60.06727535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62b39c0ea0a9909088d4270f,2023-06-16_11h01.37.697,phx_ver10,2022.2.5,Win32,60.06727535,space,4.8144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62b39c0ea0a9909088d4270f,2023-06-16_11h01.37.697,phx_ver10,2022.2.5,Win32,60.06727535,,,space,3.3627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62b39c0ea0a9909088d4270f,2023-06-16_11h01.37.697,phx_ver10,2022.2.5,Win32,60.06727535,,,,,space,1.4179,0,0,0,44,1,45,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62b39c0ea0a9909088d4270f,2023-06-16_11h01.37.697,phx_ver10,2022.2.5,Win32,60.06727535,,,,,space,4.3775,0,1,1,33,1,34,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62b39c0ea0a9909088d4270f,2023-06-16_11h01.37.697,phx_ver10,2022.2.5,Win32,60.06727535,,,,,space,1.4552,0,2,2,18,1,19,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62b39c0ea0a9909088d4270f,2023-06-16_11h01.37.697,phx_ver10,2022.2.5,Win32,60.06727535,,,,,space,0.6219,0,3,3,38,1,39,training,zh2x,i,zh2x_i,zh2x_3_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62b39c0ea0a9909088d4270f,2023-06-16_11h01.37.697,phx_ver10,2022.2.5,Win32,60.06727535,,,,,space,1.0672,0,4,4,15,1,16,training,zh2x,a,zh2x_a,zh2x_8_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62b39c0ea0a9909088d4270f,2023-06-16_11h01.37.697,phx_ver10,2022.2.5,Win32,60.06727535,,,,,space,0.6204,0,5,5,2,1,3,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62b39c0ea0a9909088d4270f,2023-06-16_11h01.37.697,phx_ver10,2022.2.5,Win32,60.06727535,,,,,,,,,,,,,attn_test,,,,zh2x_1_izhi.wav,zh2x_8_axa.wav,axa.jpg,RIGHT,,j,5.9155,space,7.6313,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
62b39c0ea0a9909088d4270f,2023-06-16_11h01.37.697,phx_ver10,2022.2.5,Win32,60.06727535,,,,,space,1.2211,0,6,6,11,1,12,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62b39c0ea0a9909088d4270f,2023-06-16_11h01.37.697,phx_ver10,2022.2.5,Win32,60.06727535,,,,,space,0.9913,0,7,7,5,1,6,training,zh2x,a,zh2x_a,zh2x_3_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62b39c0ea0a9909088d4270f,2023-06-16_11h01.37.697,phx_ver10,2022.2.5,Win32,60.06727535,,,,,space,0.671,0,8,8,9,1,10,training,zh2x,a,zh2x_a,zh2x_6_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62b39c0ea0a9909088d4270f,2023-06-16_11h01.37.697,phx_ver10,2022.2.5,Win32,60.06727535,,,,,space,0.2582,0,9,9,10,1,11,training,zh2x,a,zh2x_a,zh2x_6_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62b39c0ea0a9909088d4270f,2023-06-16_11h01.37.697,phx_ver10,2022.2.5,Win32,60.06727535,,,,,space,0.5845,0,10,10,19,1,20,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62b39c0ea0a9909088d4270f,2023-06-16_11h01.37.697,phx_ver10,2022.2.5,Win32,60.06727535,,,,,space,0.2533,0,11,11,43,1,44,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62b39c0ea0a9909088d4270f,2023-06-16_11h01.37.697,phx_ver10,2022.2.5,Win32,60.06727535,,,,,,,,,,,,,attn_test,,,,zh2x_8_ixi.wav,zh2x_8_axa.wav,axa.jpg,RIGHT,,j,0.291,space,1.0975,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
62b39c0ea0a9909088d4270f,2023-06-16_11h01.37.697,phx_ver10,2022.2.5,Win32,60.06727535,,,,,space,0.6841,0,12,12,41,1,42,training,zh2x,i,zh2x_i,zh2x_6_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
