participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
62d136262c6a9f949e50eb59,2023-06-16_10h26.22.871,phx_ver10,2022.2.5,Win32,59.97361161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62d136262c6a9f949e50eb59,2023-06-16_10h26.22.871,phx_ver10,2022.2.5,Win32,59.97361161,space,8.494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62d136262c6a9f949e50eb59,2023-06-16_10h26.22.871,phx_ver10,2022.2.5,Win32,59.97361161,,,space,0.7005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62d136262c6a9f949e50eb59,2023-06-16_10h26.22.871,phx_ver10,2022.2.5,Win32,59.97361161,,,,,space,2.5182,0,0,0,18,1,19,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62d136262c6a9f949e50eb59,2023-06-16_10h26.22.871,phx_ver10,2022.2.5,Win32,59.97361161,,,,,space,1.3231,0,1,1,43,1,44,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62d136262c6a9f949e50eb59,2023-06-16_10h26.22.871,phx_ver10,2022.2.5,Win32,59.97361161,,,,,space,0.6176,0,2,2,9,1,10,training,zh2x,a,zh2x_a,zh2x_6_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62d136262c6a9f949e50eb59,2023-06-16_10h26.22.871,phx_ver10,2022.2.5,Win32,59.97361161,,,,,space,0.3658,0,3,3,23,1,24,training,zh2x,e,zh2x_e,zh2x_4_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62d136262c6a9f949e50eb59,2023-06-16_10h26.22.871,phx_ver10,2022.2.5,Win32,59.97361161,,,,,space,0.3682,0,4,4,39,1,40,training,zh2x,i,zh2x_i,zh2x_4_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62d136262c6a9f949e50eb59,2023-06-16_10h26.22.871,phx_ver10,2022.2.5,Win32,59.97361161,,,,,space,0.323,0,5,5,4,1,5,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62d136262c6a9f949e50eb59,2023-06-16_10h26.22.871,phx_ver10,2022.2.5,Win32,59.97361161,,,,,,,,,,,,,attn_test,,,,zh2x_1_ezhe.wav,zh2x_1_izhi.wav,izhi.jpg,RIGHT,,f,2.8181,space,4.288,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
62d136262c6a9f949e50eb59,2023-06-16_10h26.22.871,phx_ver10,2022.2.5,Win32,59.97361161,,,,,space,0.9327,0,6,6,29,1,30,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62d136262c6a9f949e50eb59,2023-06-16_10h26.22.871,phx_ver10,2022.2.5,Win32,59.97361161,,,,,space,0.5578,0,7,7,5,1,6,training,zh2x,a,zh2x_a,zh2x_3_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62d136262c6a9f949e50eb59,2023-06-16_10h26.22.871,phx_ver10,2022.2.5,Win32,59.97361161,,,,,space,0.4552,0,8,8,34,1,35,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62d136262c6a9f949e50eb59,2023-06-16_10h26.22.871,phx_ver10,2022.2.5,Win32,59.97361161,,,,,space,0.3158,0,9,9,19,1,20,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62d136262c6a9f949e50eb59,2023-06-16_10h26.22.871,phx_ver10,2022.2.5,Win32,59.97361161,,,,,space,0.6855,0,10,10,14,1,15,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62d136262c6a9f949e50eb59,2023-06-16_10h26.22.871,phx_ver10,2022.2.5,Win32,59.97361161,,,,,space,0.2734,0,11,11,0,1,1,training,zh2x,a,zh2x_a,zh2x_1_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62d136262c6a9f949e50eb59,2023-06-16_10h26.22.871,phx_ver10,2022.2.5,Win32,59.97361161,,,,,,,,,,,,,attn_test,,,,zh2x_1_azha.wav,zh2x_1_izhi.wav,izhi.jpg,RIGHT,,j,0.3364,space,1.0394,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
62d136262c6a9f949e50eb59,2023-06-16_10h26.22.871,phx_ver10,2022.2.5,Win32,59.97361161,,,,,space,1.1204,0,12,12,45,1,46,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62d136262c6a9f949e50eb59,2023-06-16_10h26.22.871,phx_ver10,2022.2.5,Win32,59.97361161,,,,,space,0.0852,0,13,13,10,1,11,training,zh2x,a,zh2x_a,zh2x_6_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62d136262c6a9f949e50eb59,2023-06-16_10h26.22.871,phx_ver10,2022.2.5,Win32,59.97361161,,,,,space,0.217,0,14,14,33,1,34,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62d136262c6a9f949e50eb59,2023-06-16_10h26.22.871,phx_ver10,2022.2.5,Win32,59.97361161,,,,,space,0.3732,0,15,15,36,1,37,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62d136262c6a9f949e50eb59,2023-06-16_10h26.22.871,phx_ver10,2022.2.5,Win32,59.97361161,,,,,space,0.5805,0,16,16,31,1,32,training,zh2x,e,zh2x_e,zh2x_8_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62d136262c6a9f949e50eb59,2023-06-16_10h26.22.871,phx_ver10,2022.2.5,Win32,59.97361161,,,,,space,0.2228,0,17,17,7,1,8,training,zh2x,a,zh2x_a,zh2x_4_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62d136262c6a9f949e50eb59,2023-06-16_10h26.22.871,phx_ver10,2022.2.5,Win32,59.97361161,,,,,,,,,,,,,attn_test,,,,zh2x_1_ezhe.wav,zh2x_8_ixi.wav,ixi.jpg,RIGHT,,j,0.1174,space,0.6098,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
62d136262c6a9f949e50eb59,2023-06-16_10h26.22.871,phx_ver10,2022.2.5,Win32,59.97361161,,,,,space,3.5797,0,18,18,17,1,18,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62d136262c6a9f949e50eb59,2023-06-16_10h26.22.871,phx_ver10,2022.2.5,Win32,59.97361161,,,,,space,0.2481,0,19,19,42,1,43,training,zh2x,i,zh2x_i,zh2x_6_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62d136262c6a9f949e50eb59,2023-06-16_10h26.22.871,phx_ver10,2022.2.5,Win32,59.97361161,,,,,space,0.1773,0,20,20,28,1,29,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62d136262c6a9f949e50eb59,2023-06-16_10h26.22.871,phx_ver10,2022.2.5,Win32,59.97361161,,,,,space,0.351,0,21,21,16,1,17,training,zh2x,e,zh2x_e,zh2x_1_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62d136262c6a9f949e50eb59,2023-06-16_10h26.22.871,phx_ver10,2022.2.5,Win32,59.97361161,,,,,space,0.5886,0,22,22,30,1,31,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62d136262c6a9f949e50eb59,2023-06-16_10h26.22.871,phx_ver10,2022.2.5,Win32,59.97361161,,,,,space,0.2839,0,23,23,44,1,45,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62d136262c6a9f949e50eb59,2023-06-16_10h26.22.871,phx_ver10,2022.2.5,Win32,59.97361161,,,,,,,,,,,,,attn_test,,,,zh2x_8_ixi.wav,zh2x_8_axa.wav,ixi.jpg,LEFT,,f,0.2352,space,0.5181,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
62d136262c6a9f949e50eb59,2023-06-16_10h26.22.871,phx_ver10,2022.2.5,Win32,59.97361161,,,,,space,0.5643,0,24,24,32,1,33,training,zh2x,i,zh2x_i,zh2x_1_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62d136262c6a9f949e50eb59,2023-06-16_10h26.22.871,phx_ver10,2022.2.5,Win32,59.97361161,,,,,space,0.3,0,25,25,24,1,25,training,zh2x,e,zh2x_e,zh2x_5_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62d136262c6a9f949e50eb59,2023-06-16_10h26.22.871,phx_ver10,2022.2.5,Win32,59.97361161,,,,,space,0.288,0,26,26,13,1,14,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62d136262c6a9f949e50eb59,2023-06-16_10h26.22.871,phx_ver10,2022.2.5,Win32,59.97361161,,,,,space,0.1532,0,27,27,8,1,9,training,zh2x,a,zh2x_a,zh2x_5_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62d136262c6a9f949e50eb59,2023-06-16_10h26.22.871,phx_ver10,2022.2.5,Win32,59.97361161,,,,,space,0.0365,0,28,28,40,1,41,training,zh2x,i,zh2x_i,zh2x_5_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
