participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
62e1299fbc5a42cf215cc75d,2023-06-16_10h19.51.903,phx_ver10,2022.2.5,Win32,144.571346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62e1299fbc5a42cf215cc75d,2023-06-16_10h19.51.903,phx_ver10,2022.2.5,Win32,144.571346,space,3.9579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62e1299fbc5a42cf215cc75d,2023-06-16_10h19.51.903,phx_ver10,2022.2.5,Win32,144.571346,,,space,1.0599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62e1299fbc5a42cf215cc75d,2023-06-16_10h19.51.903,phx_ver10,2022.2.5,Win32,144.571346,,,,,space,3.3258,0,0,0,42,1,43,training,zh2x,i,zh2x_i,zh2x_6_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62e1299fbc5a42cf215cc75d,2023-06-16_10h19.51.903,phx_ver10,2022.2.5,Win32,144.571346,,,,,space,2.056,0,1,1,4,1,5,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62e1299fbc5a42cf215cc75d,2023-06-16_10h19.51.903,phx_ver10,2022.2.5,Win32,144.571346,,,,,space,1.1891,0,2,2,15,1,16,training,zh2x,a,zh2x_a,zh2x_8_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62e1299fbc5a42cf215cc75d,2023-06-16_10h19.51.903,phx_ver10,2022.2.5,Win32,144.571346,,,,,space,0.8378,0,3,3,24,1,25,training,zh2x,e,zh2x_e,zh2x_5_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62e1299fbc5a42cf215cc75d,2023-06-16_10h19.51.903,phx_ver10,2022.2.5,Win32,144.571346,,,,,space,0.4338,0,4,4,19,1,20,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62e1299fbc5a42cf215cc75d,2023-06-16_10h19.51.903,phx_ver10,2022.2.5,Win32,144.571346,,,,,space,0.3266,0,5,5,28,1,29,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62e1299fbc5a42cf215cc75d,2023-06-16_10h19.51.903,phx_ver10,2022.2.5,Win32,144.571346,,,,,,,,,,,,,attn_test,,,,zh2x_8_ixi.wav,zh2x_1_ezhe.wav,ixi.jpg,LEFT,,f,12.5989,space,13.514,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
62e1299fbc5a42cf215cc75d,2023-06-16_10h19.51.903,phx_ver10,2022.2.5,Win32,144.571346,,,,,space,2.408,0,6,6,17,1,18,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62e1299fbc5a42cf215cc75d,2023-06-16_10h19.51.903,phx_ver10,2022.2.5,Win32,144.571346,,,,,space,1.0629,0,7,7,30,1,31,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62e1299fbc5a42cf215cc75d,2023-06-16_10h19.51.903,phx_ver10,2022.2.5,Win32,144.571346,,,,,space,2.7089,0,8,8,39,1,40,training,zh2x,i,zh2x_i,zh2x_4_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62e1299fbc5a42cf215cc75d,2023-06-16_10h19.51.903,phx_ver10,2022.2.5,Win32,144.571346,,,,,space,0.6071,0,9,9,7,1,8,training,zh2x,a,zh2x_a,zh2x_4_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62e1299fbc5a42cf215cc75d,2023-06-16_10h19.51.903,phx_ver10,2022.2.5,Win32,144.571346,,,,,space,0.2326,0,10,10,13,1,14,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
