participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
631484e678fa2ffd8550a079,2023-06-16_09h46.53.027,phx_ver10,2022.2.5,Win32,59.9880024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631484e678fa2ffd8550a079,2023-06-16_09h46.53.027,phx_ver10,2022.2.5,Win32,59.9880024,space,0.8306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631484e678fa2ffd8550a079,2023-06-16_09h46.53.027,phx_ver10,2022.2.5,Win32,59.9880024,,,space,2.1352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631484e678fa2ffd8550a079,2023-06-16_09h46.53.027,phx_ver10,2022.2.5,Win32,59.9880024,,,,,space,1.764,0,0,0,1,1,2,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631484e678fa2ffd8550a079,2023-06-16_09h46.53.027,phx_ver10,2022.2.5,Win32,59.9880024,,,,,space,1.0519,0,1,1,9,1,10,training,zh2x,a,zh2x_a,zh2x_6_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631484e678fa2ffd8550a079,2023-06-16_09h46.53.027,phx_ver10,2022.2.5,Win32,59.9880024,,,,,space,0.7673,0,2,2,26,1,27,training,zh2x,e,zh2x_e,zh2x_6_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631484e678fa2ffd8550a079,2023-06-16_09h46.53.027,phx_ver10,2022.2.5,Win32,59.9880024,,,,,space,0.251,0,3,3,15,1,16,training,zh2x,a,zh2x_a,zh2x_8_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631484e678fa2ffd8550a079,2023-06-16_09h46.53.027,phx_ver10,2022.2.5,Win32,59.9880024,,,,,space,0.1518,0,4,4,17,1,18,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631484e678fa2ffd8550a079,2023-06-16_09h46.53.027,phx_ver10,2022.2.5,Win32,59.9880024,,,,,space,1.0211,0,5,5,43,1,44,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631484e678fa2ffd8550a079,2023-06-16_09h46.53.027,phx_ver10,2022.2.5,Win32,59.9880024,,,,,,,,,,,,,attn_test,,,,zh2x_1_ezhe.wav,zh2x_8_axa.wav,axa.jpg,RIGHT,,f,3.8163,space,4.4498,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
