participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
631f2effe49a1006c782c115,2023-06-16_10h01.46.171,phx_ver10,2022.2.5,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631f2effe49a1006c782c115,2023-06-16_10h01.46.171,phx_ver10,2022.2.5,MacIntel,62.5,space,1.745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631f2effe49a1006c782c115,2023-06-16_10h01.46.171,phx_ver10,2022.2.5,MacIntel,62.5,,,space,0.798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631f2effe49a1006c782c115,2023-06-16_10h01.46.171,phx_ver10,2022.2.5,MacIntel,62.5,,,,,space,2.201,0,0,0,32,1,33,training,zh2x,i,zh2x_i,zh2x_1_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631f2effe49a1006c782c115,2023-06-16_10h01.46.171,phx_ver10,2022.2.5,MacIntel,62.5,,,,,space,1.417,0,1,1,5,1,6,training,zh2x,a,zh2x_a,zh2x_3_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631f2effe49a1006c782c115,2023-06-16_10h01.46.171,phx_ver10,2022.2.5,MacIntel,62.5,,,,,space,1.516,0,2,2,27,1,28,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631f2effe49a1006c782c115,2023-06-16_10h01.46.171,phx_ver10,2022.2.5,MacIntel,62.5,,,,,space,2.453,0,3,3,21,1,22,training,zh2x,e,zh2x_e,zh2x_3_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631f2effe49a1006c782c115,2023-06-16_10h01.46.171,phx_ver10,2022.2.5,MacIntel,62.5,,,,,space,1.083,0,4,4,9,1,10,training,zh2x,a,zh2x_a,zh2x_6_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631f2effe49a1006c782c115,2023-06-16_10h01.46.171,phx_ver10,2022.2.5,MacIntel,62.5,,,,,space,0.429,0,5,5,28,1,29,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631f2effe49a1006c782c115,2023-06-16_10h01.46.171,phx_ver10,2022.2.5,MacIntel,62.5,,,,,,,,,,,,,attn_test,,,,zh2x_8_ixi.wav,zh2x_8_exe.wav,exe.jpg,RIGHT,,j,0.696,space,1.544,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
631f2effe49a1006c782c115,2023-06-16_10h01.46.171,phx_ver10,2022.2.5,MacIntel,62.5,,,,,space,1.883,0,6,6,10,1,11,training,zh2x,a,zh2x_a,zh2x_6_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
