participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
6368e3f48413ec73f1962b8a,2023-06-16_10h20.13.738,phx_ver10,2022.2.5,Win32,60.03121623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6368e3f48413ec73f1962b8a,2023-06-16_10h20.13.738,phx_ver10,2022.2.5,Win32,60.03121623,space,3.177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6368e3f48413ec73f1962b8a,2023-06-16_10h20.13.738,phx_ver10,2022.2.5,Win32,60.03121623,,,space,1.7638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6368e3f48413ec73f1962b8a,2023-06-16_10h20.13.738,phx_ver10,2022.2.5,Win32,60.03121623,,,,,space,1.587,0,0,0,16,1,17,training,zh2x,e,zh2x_e,zh2x_1_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6368e3f48413ec73f1962b8a,2023-06-16_10h20.13.738,phx_ver10,2022.2.5,Win32,60.03121623,,,,,space,1.2092,0,1,1,28,1,29,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6368e3f48413ec73f1962b8a,2023-06-16_10h20.13.738,phx_ver10,2022.2.5,Win32,60.03121623,,,,,space,0.7417,0,2,2,34,1,35,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6368e3f48413ec73f1962b8a,2023-06-16_10h20.13.738,phx_ver10,2022.2.5,Win32,60.03121623,,,,,space,0.0725,0,3,3,46,1,47,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6368e3f48413ec73f1962b8a,2023-06-16_10h20.13.738,phx_ver10,2022.2.5,Win32,60.03121623,,,,,space,0.5674,0,4,4,17,1,18,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6368e3f48413ec73f1962b8a,2023-06-16_10h20.13.738,phx_ver10,2022.2.5,Win32,60.03121623,,,,,space,0.3822,0,5,5,44,1,45,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6368e3f48413ec73f1962b8a,2023-06-16_10h20.13.738,phx_ver10,2022.2.5,Win32,60.03121623,,,,,,,,,,,,,attn_test,,,,zh2x_1_izhi.wav,zh2x_1_ezhe.wav,ezhe.jpg,RIGHT,,f,7.1909,space,7.6157,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
6368e3f48413ec73f1962b8a,2023-06-16_10h20.13.738,phx_ver10,2022.2.5,Win32,60.03121623,,,,,space,1.2517,0,6,6,12,1,13,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6368e3f48413ec73f1962b8a,2023-06-16_10h20.13.738,phx_ver10,2022.2.5,Win32,60.03121623,,,,,space,0.3427,0,7,7,25,1,26,training,zh2x,e,zh2x_e,zh2x_6_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6368e3f48413ec73f1962b8a,2023-06-16_10h20.13.738,phx_ver10,2022.2.5,Win32,60.03121623,,,,,space,0.315,0,8,8,14,1,15,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6368e3f48413ec73f1962b8a,2023-06-16_10h20.13.738,phx_ver10,2022.2.5,Win32,60.03121623,,,,,space,0.167,0,9,9,24,1,25,training,zh2x,e,zh2x_e,zh2x_5_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6368e3f48413ec73f1962b8a,2023-06-16_10h20.13.738,phx_ver10,2022.2.5,Win32,60.03121623,,,,,space,0.1013,0,10,10,1,1,2,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6368e3f48413ec73f1962b8a,2023-06-16_10h20.13.738,phx_ver10,2022.2.5,Win32,60.03121623,,,,,space,0.2085,0,11,11,26,1,27,training,zh2x,e,zh2x_e,zh2x_6_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6368e3f48413ec73f1962b8a,2023-06-16_10h20.13.738,phx_ver10,2022.2.5,Win32,60.03121623,,,,,,,,,,,,,attn_test,,,,zh2x_8_axa.wav,zh2x_8_exe.wav,axa.jpg,LEFT,,f,0.5158,space,1.6161,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
6368e3f48413ec73f1962b8a,2023-06-16_10h20.13.738,phx_ver10,2022.2.5,Win32,60.03121623,,,,,space,0.8271,0,12,12,7,1,8,training,zh2x,a,zh2x_a,zh2x_4_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6368e3f48413ec73f1962b8a,2023-06-16_10h20.13.738,phx_ver10,2022.2.5,Win32,60.03121623,,,,,space,0.3227,0,13,13,5,1,6,training,zh2x,a,zh2x_a,zh2x_3_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6368e3f48413ec73f1962b8a,2023-06-16_10h20.13.738,phx_ver10,2022.2.5,Win32,60.03121623,,,,,space,0.3539,0,14,14,11,1,12,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6368e3f48413ec73f1962b8a,2023-06-16_10h20.13.738,phx_ver10,2022.2.5,Win32,60.03121623,,,,,space,1.5162,0,15,15,19,1,20,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6368e3f48413ec73f1962b8a,2023-06-16_10h20.13.738,phx_ver10,2022.2.5,Win32,60.03121623,,,,,space,0.4498,0,16,16,41,1,42,training,zh2x,i,zh2x_i,zh2x_6_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6368e3f48413ec73f1962b8a,2023-06-16_10h20.13.738,phx_ver10,2022.2.5,Win32,60.03121623,,,,,space,0.0461,0,17,17,15,1,16,training,zh2x,a,zh2x_a,zh2x_8_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6368e3f48413ec73f1962b8a,2023-06-16_10h20.13.738,phx_ver10,2022.2.5,Win32,60.03121623,,,,,,,,,,,,,attn_test,,,,zh2x_1_ezhe.wav,zh2x_1_izhi.wav,ezhe.jpg,LEFT,,f,2.8645,space,3.2525,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
6368e3f48413ec73f1962b8a,2023-06-16_10h20.13.738,phx_ver10,2022.2.5,Win32,60.03121623,,,,,space,0.4868,0,18,18,2,1,3,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6368e3f48413ec73f1962b8a,2023-06-16_10h20.13.738,phx_ver10,2022.2.5,Win32,60.03121623,,,,,space,0.3841,0,19,19,40,1,41,training,zh2x,i,zh2x_i,zh2x_5_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6368e3f48413ec73f1962b8a,2023-06-16_10h20.13.738,phx_ver10,2022.2.5,Win32,60.03121623,,,,,space,0.1301,0,20,20,3,1,4,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6368e3f48413ec73f1962b8a,2023-06-16_10h20.13.738,phx_ver10,2022.2.5,Win32,60.03121623,,,,,space,0.8624,0,21,21,43,1,44,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6368e3f48413ec73f1962b8a,2023-06-16_10h20.13.738,phx_ver10,2022.2.5,Win32,60.03121623,,,,,space,0.2864,0,22,22,8,1,9,training,zh2x,a,zh2x_a,zh2x_5_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6368e3f48413ec73f1962b8a,2023-06-16_10h20.13.738,phx_ver10,2022.2.5,Win32,60.03121623,,,,,space,0.2806,0,23,23,36,1,37,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6368e3f48413ec73f1962b8a,2023-06-16_10h20.13.738,phx_ver10,2022.2.5,Win32,60.03121623,,,,,,,,,,,,,attn_test,,,,zh2x_1_ezhe.wav,zh2x_8_ixi.wav,ixi.jpg,RIGHT,,j,0.0786,space,0.3678,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
6368e3f48413ec73f1962b8a,2023-06-16_10h20.13.738,phx_ver10,2022.2.5,Win32,60.03121623,,,,,space,0.153,0,24,24,31,1,32,training,zh2x,e,zh2x_e,zh2x_8_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6368e3f48413ec73f1962b8a,2023-06-16_10h20.13.738,phx_ver10,2022.2.5,Win32,60.03121623,,,,,space,0.0322,0,25,25,10,1,11,training,zh2x,a,zh2x_a,zh2x_6_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6368e3f48413ec73f1962b8a,2023-06-16_10h20.13.738,phx_ver10,2022.2.5,Win32,60.03121623,,,,,space,0.0856,0,26,26,47,1,48,training,zh2x,i,zh2x_i,zh2x_8_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
