participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
636928ef51cdaf360bebba1e,2023-06-16_10h20.04.161,phx_ver10,2022.2.5,Win32,60.04924038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636928ef51cdaf360bebba1e,2023-06-16_10h20.04.161,phx_ver10,2022.2.5,Win32,60.04924038,space,5.9458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636928ef51cdaf360bebba1e,2023-06-16_10h20.04.161,phx_ver10,2022.2.5,Win32,60.04924038,,,space,1.183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636928ef51cdaf360bebba1e,2023-06-16_10h20.04.161,phx_ver10,2022.2.5,Win32,60.04924038,,,,,space,1.9742,0,0,0,10,1,11,training,zh2x,a,zh2x_a,zh2x_6_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636928ef51cdaf360bebba1e,2023-06-16_10h20.04.161,phx_ver10,2022.2.5,Win32,60.04924038,,,,,space,1.6579,0,1,1,16,1,17,training,zh2x,e,zh2x_e,zh2x_1_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636928ef51cdaf360bebba1e,2023-06-16_10h20.04.161,phx_ver10,2022.2.5,Win32,60.04924038,,,,,space,1.5731,0,2,2,44,1,45,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636928ef51cdaf360bebba1e,2023-06-16_10h20.04.161,phx_ver10,2022.2.5,Win32,60.04924038,,,,,space,1.3417,0,3,3,29,1,30,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636928ef51cdaf360bebba1e,2023-06-16_10h20.04.161,phx_ver10,2022.2.5,Win32,60.04924038,,,,,space,1.1001,0,4,4,33,1,34,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636928ef51cdaf360bebba1e,2023-06-16_10h20.04.161,phx_ver10,2022.2.5,Win32,60.04924038,,,,,space,1.2259,0,5,5,40,1,41,training,zh2x,i,zh2x_i,zh2x_5_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636928ef51cdaf360bebba1e,2023-06-16_10h20.04.161,phx_ver10,2022.2.5,Win32,60.04924038,,,,,,,,,,,,,attn_test,,,,zh2x_1_azha.wav,zh2x_1_ezhe.wav,ezhe.jpg,RIGHT,,f,2.3815,space,6.0123,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
