participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
6385d65534631eaaa70c6f33,2023-06-16_09h45.22.733,phx_ver10,2022.2.5,Win32,61.36098668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6385d65534631eaaa70c6f33,2023-06-16_09h45.22.733,phx_ver10,2022.2.5,Win32,61.36098668,space,7.1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6385d65534631eaaa70c6f33,2023-06-16_09h45.22.733,phx_ver10,2022.2.5,Win32,61.36098668,,,space,0.4996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6385d65534631eaaa70c6f33,2023-06-16_09h45.22.733,phx_ver10,2022.2.5,Win32,61.36098668,,,,,space,4.7317,0,0,0,13,1,14,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6385d65534631eaaa70c6f33,2023-06-16_09h45.22.733,phx_ver10,2022.2.5,Win32,61.36098668,,,,,space,1.0344,0,1,1,35,1,36,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6385d65534631eaaa70c6f33,2023-06-16_09h45.22.733,phx_ver10,2022.2.5,Win32,61.36098668,,,,,space,1.3511,0,2,2,20,1,21,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6385d65534631eaaa70c6f33,2023-06-16_09h45.22.733,phx_ver10,2022.2.5,Win32,61.36098668,,,,,space,0.7368,0,3,3,31,1,32,training,zh2x,e,zh2x_e,zh2x_8_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6385d65534631eaaa70c6f33,2023-06-16_09h45.22.733,phx_ver10,2022.2.5,Win32,61.36098668,,,,,space,0.8841,0,4,4,44,1,45,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6385d65534631eaaa70c6f33,2023-06-16_09h45.22.733,phx_ver10,2022.2.5,Win32,61.36098668,,,,,space,0.4504,0,5,5,1,1,2,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6385d65534631eaaa70c6f33,2023-06-16_09h45.22.733,phx_ver10,2022.2.5,Win32,61.36098668,,,,,,,,,,,,,attn_test,,,,zh2x_1_ezhe.wav,zh2x_1_izhi.wav,ezhe.jpg,LEFT,,f,4.7325,space,5.1657,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
6385d65534631eaaa70c6f33,2023-06-16_09h45.22.733,phx_ver10,2022.2.5,Win32,61.36098668,,,,,space,0.8254,0,6,6,14,1,15,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6385d65534631eaaa70c6f33,2023-06-16_09h45.22.733,phx_ver10,2022.2.5,Win32,61.36098668,,,,,space,0.3737,0,7,7,12,1,13,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6385d65534631eaaa70c6f33,2023-06-16_09h45.22.733,phx_ver10,2022.2.5,Win32,61.36098668,,,,,space,4.6679,0,8,8,17,1,18,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6385d65534631eaaa70c6f33,2023-06-16_09h45.22.733,phx_ver10,2022.2.5,Win32,61.36098668,,,,,space,1.2381,0,9,9,40,1,41,training,zh2x,i,zh2x_i,zh2x_5_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
