participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
6393da4dd62a68bec4f4661c,2023-06-16_19h17.09.537,phx_ver10,2022.2.5,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6393da4dd62a68bec4f4661c,2023-06-16_19h17.09.537,phx_ver10,2022.2.5,Win32,60.0240096,space,10.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6393da4dd62a68bec4f4661c,2023-06-16_19h17.09.537,phx_ver10,2022.2.5,Win32,60.0240096,,,space,2.302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6393da4dd62a68bec4f4661c,2023-06-16_19h17.09.537,phx_ver10,2022.2.5,Win32,60.0240096,,,,,space,28.67,0,0,0,17,1,18,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6393da4dd62a68bec4f4661c,2023-06-16_19h17.09.537,phx_ver10,2022.2.5,Win32,60.0240096,,,,,space,2.74,0,1,1,47,1,48,training,zh2x,i,zh2x_i,zh2x_8_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6393da4dd62a68bec4f4661c,2023-06-16_19h17.09.537,phx_ver10,2022.2.5,Win32,60.0240096,,,,,space,1.191,0,2,2,45,1,46,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6393da4dd62a68bec4f4661c,2023-06-16_19h17.09.537,phx_ver10,2022.2.5,Win32,60.0240096,,,,,space,3.043,0,3,3,29,1,30,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6393da4dd62a68bec4f4661c,2023-06-16_19h17.09.537,phx_ver10,2022.2.5,Win32,60.0240096,,,,,space,1.735,0,4,4,12,1,13,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6393da4dd62a68bec4f4661c,2023-06-16_19h17.09.537,phx_ver10,2022.2.5,Win32,60.0240096,,,,,space,0.89,0,5,5,14,1,15,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6393da4dd62a68bec4f4661c,2023-06-16_19h17.09.537,phx_ver10,2022.2.5,Win32,60.0240096,,,,,,,,,,,,,attn_test,,,,zh2x_8_exe.wav,zh2x_8_ixi.wav,exe.jpg,LEFT,,f,1.299,space,9.651,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
6393da4dd62a68bec4f4661c,2023-06-16_19h17.09.537,phx_ver10,2022.2.5,Win32,60.0240096,,,,,space,1.657,0,6,6,1,1,2,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6393da4dd62a68bec4f4661c,2023-06-16_19h17.09.537,phx_ver10,2022.2.5,Win32,60.0240096,,,,,space,3.281,0,7,7,20,1,21,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6393da4dd62a68bec4f4661c,2023-06-16_19h17.09.537,phx_ver10,2022.2.5,Win32,60.0240096,,,,,space,0.283,0,8,8,19,1,20,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6393da4dd62a68bec4f4661c,2023-06-16_19h17.09.537,phx_ver10,2022.2.5,Win32,60.0240096,,,,,space,1.239,0,9,9,27,1,28,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6393da4dd62a68bec4f4661c,2023-06-16_19h17.09.537,phx_ver10,2022.2.5,Win32,60.0240096,,,,,space,1.8,0,10,10,18,1,19,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6393da4dd62a68bec4f4661c,2023-06-16_19h17.09.537,phx_ver10,2022.2.5,Win32,60.0240096,,,,,space,1.123,0,11,11,31,1,32,training,zh2x,e,zh2x_e,zh2x_8_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
