participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
6394001067969f8eeb01fc37,2023-06-16_19h36.00.139,phx_ver10,2022.2.5,Win32,59.97001499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6394001067969f8eeb01fc37,2023-06-16_19h36.00.139,phx_ver10,2022.2.5,Win32,59.97001499,space,5.1557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6394001067969f8eeb01fc37,2023-06-16_19h36.00.139,phx_ver10,2022.2.5,Win32,59.97001499,,,space,0.2074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6394001067969f8eeb01fc37,2023-06-16_19h36.00.139,phx_ver10,2022.2.5,Win32,59.97001499,,,,,space,1.4476,0,0,0,24,1,25,training,zh2x,e,zh2x_e,zh2x_5_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6394001067969f8eeb01fc37,2023-06-16_19h36.00.139,phx_ver10,2022.2.5,Win32,59.97001499,,,,,space,0.8506,0,1,1,17,1,18,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6394001067969f8eeb01fc37,2023-06-16_19h36.00.139,phx_ver10,2022.2.5,Win32,59.97001499,,,,,space,0.6834,0,2,2,11,1,12,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6394001067969f8eeb01fc37,2023-06-16_19h36.00.139,phx_ver10,2022.2.5,Win32,59.97001499,,,,,space,1.0897,0,3,3,45,1,46,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6394001067969f8eeb01fc37,2023-06-16_19h36.00.139,phx_ver10,2022.2.5,Win32,59.97001499,,,,,space,0.2933,0,4,4,8,1,9,training,zh2x,a,zh2x_a,zh2x_5_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6394001067969f8eeb01fc37,2023-06-16_19h36.00.139,phx_ver10,2022.2.5,Win32,59.97001499,,,,,space,0.5165,0,5,5,12,1,13,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6394001067969f8eeb01fc37,2023-06-16_19h36.00.139,phx_ver10,2022.2.5,Win32,59.97001499,,,,,,,,,,,,,attn_test,,,,zh2x_8_axa.wav,zh2x_1_izhi.wav,axa.jpg,LEFT,,f,1.4112,space,2.685,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
6394001067969f8eeb01fc37,2023-06-16_19h36.00.139,phx_ver10,2022.2.5,Win32,59.97001499,,,,,space,0.6473,0,6,6,34,1,35,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6394001067969f8eeb01fc37,2023-06-16_19h36.00.139,phx_ver10,2022.2.5,Win32,59.97001499,,,,,space,0.2897,0,7,7,18,1,19,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
