participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
63beebaa4c5884797ff00a98,2023-06-16_10h23.23.311,phx_ver10,2022.2.5,Win32,60.06006006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63beebaa4c5884797ff00a98,2023-06-16_10h23.23.311,phx_ver10,2022.2.5,Win32,60.06006006,space,341.0458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63beebaa4c5884797ff00a98,2023-06-16_10h23.23.311,phx_ver10,2022.2.5,Win32,60.06006006,,,space,1.534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63beebaa4c5884797ff00a98,2023-06-16_10h23.23.311,phx_ver10,2022.2.5,Win32,60.06006006,,,,,space,4.8037,0,0,0,19,1,20,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63beebaa4c5884797ff00a98,2023-06-16_10h23.23.311,phx_ver10,2022.2.5,Win32,60.06006006,,,,,space,1.5985,0,1,1,0,1,1,training,zh2x,a,zh2x_a,zh2x_1_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63beebaa4c5884797ff00a98,2023-06-16_10h23.23.311,phx_ver10,2022.2.5,Win32,60.06006006,,,,,space,1.2172,0,2,2,33,1,34,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63beebaa4c5884797ff00a98,2023-06-16_10h23.23.311,phx_ver10,2022.2.5,Win32,60.06006006,,,,,space,1.2373,0,3,3,8,1,9,training,zh2x,a,zh2x_a,zh2x_5_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63beebaa4c5884797ff00a98,2023-06-16_10h23.23.311,phx_ver10,2022.2.5,Win32,60.06006006,,,,,space,1.2393,0,4,4,2,1,3,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63beebaa4c5884797ff00a98,2023-06-16_10h23.23.311,phx_ver10,2022.2.5,Win32,60.06006006,,,,,space,0.9242,0,5,5,20,1,21,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63beebaa4c5884797ff00a98,2023-06-16_10h23.23.311,phx_ver10,2022.2.5,Win32,60.06006006,,,,,,,,,,,,,attn_test,,,,zh2x_8_exe.wav,zh2x_8_axa.wav,axa.jpg,RIGHT,,f,2.5165,space,4.1722,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
63beebaa4c5884797ff00a98,2023-06-16_10h23.23.311,phx_ver10,2022.2.5,Win32,60.06006006,,,,,space,1.5342,0,6,6,31,1,32,training,zh2x,e,zh2x_e,zh2x_8_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63beebaa4c5884797ff00a98,2023-06-16_10h23.23.311,phx_ver10,2022.2.5,Win32,60.06006006,,,,,space,0.736,0,7,7,18,1,19,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63beebaa4c5884797ff00a98,2023-06-16_10h23.23.311,phx_ver10,2022.2.5,Win32,60.06006006,,,,,space,0.7836,0,8,8,7,1,8,training,zh2x,a,zh2x_a,zh2x_4_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63beebaa4c5884797ff00a98,2023-06-16_10h23.23.311,phx_ver10,2022.2.5,Win32,60.06006006,,,,,space,1.0146,0,9,9,26,1,27,training,zh2x,e,zh2x_e,zh2x_6_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63beebaa4c5884797ff00a98,2023-06-16_10h23.23.311,phx_ver10,2022.2.5,Win32,60.06006006,,,,,space,0.7673,0,10,10,29,1,30,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63beebaa4c5884797ff00a98,2023-06-16_10h23.23.311,phx_ver10,2022.2.5,Win32,60.06006006,,,,,space,1.4506,0,11,11,38,1,39,training,zh2x,i,zh2x_i,zh2x_3_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63beebaa4c5884797ff00a98,2023-06-16_10h23.23.311,phx_ver10,2022.2.5,Win32,60.06006006,,,,,,,,,,,,,attn_test,,,,zh2x_8_exe.wav,zh2x_1_izhi.wav,izhi.jpg,RIGHT,,j,0.017,space,1.1005,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
63beebaa4c5884797ff00a98,2023-06-16_10h23.23.311,phx_ver10,2022.2.5,Win32,60.06006006,,,,,space,0.7171,0,12,12,6,1,7,training,zh2x,a,zh2x_a,zh2x_3_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63beebaa4c5884797ff00a98,2023-06-16_10h23.23.311,phx_ver10,2022.2.5,Win32,60.06006006,,,,,space,1.3811,0,13,13,46,1,47,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
