participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
63d14e0eb3f244e8d5f88f48,2023-06-16_10h43.02.450,phx_ver10,2022.2.5,Win32,59.34718101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63d14e0eb3f244e8d5f88f48,2023-06-16_10h43.02.450,phx_ver10,2022.2.5,Win32,59.34718101,space,2.4576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63d14e0eb3f244e8d5f88f48,2023-06-16_10h43.02.450,phx_ver10,2022.2.5,Win32,59.34718101,,,space,3.8488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63d14e0eb3f244e8d5f88f48,2023-06-16_10h43.02.450,phx_ver10,2022.2.5,Win32,59.34718101,,,,,space,2.1683,0,0,0,3,1,4,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63d14e0eb3f244e8d5f88f48,2023-06-16_10h43.02.450,phx_ver10,2022.2.5,Win32,59.34718101,,,,,space,4.5369,0,1,1,20,1,21,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63d14e0eb3f244e8d5f88f48,2023-06-16_10h43.02.450,phx_ver10,2022.2.5,Win32,59.34718101,,,,,space,1.4421,0,2,2,31,1,32,training,zh2x,e,zh2x_e,zh2x_8_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63d14e0eb3f244e8d5f88f48,2023-06-16_10h43.02.450,phx_ver10,2022.2.5,Win32,59.34718101,,,,,space,1.56,0,3,3,43,1,44,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63d14e0eb3f244e8d5f88f48,2023-06-16_10h43.02.450,phx_ver10,2022.2.5,Win32,59.34718101,,,,,space,0.9414,0,4,4,7,1,8,training,zh2x,a,zh2x_a,zh2x_4_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63d14e0eb3f244e8d5f88f48,2023-06-16_10h43.02.450,phx_ver10,2022.2.5,Win32,59.34718101,,,,,space,2.5585,0,5,5,41,1,42,training,zh2x,i,zh2x_i,zh2x_6_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63d14e0eb3f244e8d5f88f48,2023-06-16_10h43.02.450,phx_ver10,2022.2.5,Win32,59.34718101,,,,,,,,,,,,,attn_test,,,,zh2x_8_exe.wav,zh2x_1_azha.wav,azha.jpg,RIGHT,,j,2.0763,space,8.5805,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
