participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
63d3fada47de3a294210f997,2023-06-16_10h29.59.013,phx_ver10,2022.2.5,Win32,60.20832079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63d3fada47de3a294210f997,2023-06-16_10h29.59.013,phx_ver10,2022.2.5,Win32,60.20832079,space,2.7827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63d3fada47de3a294210f997,2023-06-16_10h29.59.013,phx_ver10,2022.2.5,Win32,60.20832079,,,space,1.8643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63d3fada47de3a294210f997,2023-06-16_10h29.59.013,phx_ver10,2022.2.5,Win32,60.20832079,,,,,space,3.8971,0,0,0,8,1,9,training,zh2x,a,zh2x_a,zh2x_5_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63d3fada47de3a294210f997,2023-06-16_10h29.59.013,phx_ver10,2022.2.5,Win32,60.20832079,,,,,space,2.4898,0,1,1,21,1,22,training,zh2x,e,zh2x_e,zh2x_3_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63d3fada47de3a294210f997,2023-06-16_10h29.59.013,phx_ver10,2022.2.5,Win32,60.20832079,,,,,space,1.8996,0,2,2,34,1,35,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63d3fada47de3a294210f997,2023-06-16_10h29.59.013,phx_ver10,2022.2.5,Win32,60.20832079,,,,,space,1.3651,0,3,3,31,1,32,training,zh2x,e,zh2x_e,zh2x_8_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63d3fada47de3a294210f997,2023-06-16_10h29.59.013,phx_ver10,2022.2.5,Win32,60.20832079,,,,,space,1.241,0,4,4,32,1,33,training,zh2x,i,zh2x_i,zh2x_1_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63d3fada47de3a294210f997,2023-06-16_10h29.59.013,phx_ver10,2022.2.5,Win32,60.20832079,,,,,space,1.1753,0,5,5,5,1,6,training,zh2x,a,zh2x_a,zh2x_3_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63d3fada47de3a294210f997,2023-06-16_10h29.59.013,phx_ver10,2022.2.5,Win32,60.20832079,,,,,,,,,,,,,attn_test,,,,zh2x_1_izhi.wav,zh2x_1_azha.wav,azha.jpg,RIGHT,,j,10.939,space,12.0056,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
63d3fada47de3a294210f997,2023-06-16_10h29.59.013,phx_ver10,2022.2.5,Win32,60.20832079,,,,,space,2.076,0,6,6,35,1,36,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63d3fada47de3a294210f997,2023-06-16_10h29.59.013,phx_ver10,2022.2.5,Win32,60.20832079,,,,,space,0.6831,0,7,7,6,1,7,training,zh2x,a,zh2x_a,zh2x_3_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63d3fada47de3a294210f997,2023-06-16_10h29.59.013,phx_ver10,2022.2.5,Win32,60.20832079,,,,,space,0.5337,0,8,8,7,1,8,training,zh2x,a,zh2x_a,zh2x_4_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63d3fada47de3a294210f997,2023-06-16_10h29.59.013,phx_ver10,2022.2.5,Win32,60.20832079,,,,,space,0.4972,0,9,9,3,1,4,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63d3fada47de3a294210f997,2023-06-16_10h29.59.013,phx_ver10,2022.2.5,Win32,60.20832079,,,,,space,0.9726,0,10,10,40,1,41,training,zh2x,i,zh2x_i,zh2x_5_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63d3fada47de3a294210f997,2023-06-16_10h29.59.013,phx_ver10,2022.2.5,Win32,60.20832079,,,,,space,0.6726,0,11,11,29,1,30,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63d3fada47de3a294210f997,2023-06-16_10h29.59.013,phx_ver10,2022.2.5,Win32,60.20832079,,,,,,,,,,,,,attn_test,,,,zh2x_1_izhi.wav,zh2x_1_ezhe.wav,izhi.jpg,LEFT,,f,0.4509,space,1.3502,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
63d3fada47de3a294210f997,2023-06-16_10h29.59.013,phx_ver10,2022.2.5,Win32,60.20832079,,,,,space,1.2815,0,12,12,30,1,31,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63d3fada47de3a294210f997,2023-06-16_10h29.59.013,phx_ver10,2022.2.5,Win32,60.20832079,,,,,space,0.4923,0,13,13,36,1,37,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63d3fada47de3a294210f997,2023-06-16_10h29.59.013,phx_ver10,2022.2.5,Win32,60.20832079,,,,,space,0.4708,0,14,14,37,1,38,training,zh2x,i,zh2x_i,zh2x_3_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63d3fada47de3a294210f997,2023-06-16_10h29.59.013,phx_ver10,2022.2.5,Win32,60.20832079,,,,,space,0.8695,0,15,15,18,1,19,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
