participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
63d73625a0528cd8c9f001d6,2023-06-16_17h28.13.909,phx_ver10,2022.2.5,Win32,60.16847172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63d73625a0528cd8c9f001d6,2023-06-16_17h28.13.909,phx_ver10,2022.2.5,Win32,60.16847172,space,3.9214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63d73625a0528cd8c9f001d6,2023-06-16_17h28.13.909,phx_ver10,2022.2.5,Win32,60.16847172,,,space,2.1502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63d73625a0528cd8c9f001d6,2023-06-16_17h28.13.909,phx_ver10,2022.2.5,Win32,60.16847172,,,,,space,3.25,0,0,0,40,1,41,training,zh2x,i,zh2x_i,zh2x_5_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63d73625a0528cd8c9f001d6,2023-06-16_17h28.13.909,phx_ver10,2022.2.5,Win32,60.16847172,,,,,space,2.8013,0,1,1,9,1,10,training,zh2x,a,zh2x_a,zh2x_6_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63d73625a0528cd8c9f001d6,2023-06-16_17h28.13.909,phx_ver10,2022.2.5,Win32,60.16847172,,,,,space,1.1855,0,2,2,14,1,15,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63d73625a0528cd8c9f001d6,2023-06-16_17h28.13.909,phx_ver10,2022.2.5,Win32,60.16847172,,,,,space,1.8449,0,3,3,27,1,28,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63d73625a0528cd8c9f001d6,2023-06-16_17h28.13.909,phx_ver10,2022.2.5,Win32,60.16847172,,,,,space,1.4411,0,4,4,1,1,2,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63d73625a0528cd8c9f001d6,2023-06-16_17h28.13.909,phx_ver10,2022.2.5,Win32,60.16847172,,,,,space,1.6133,0,5,5,33,1,34,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63d73625a0528cd8c9f001d6,2023-06-16_17h28.13.909,phx_ver10,2022.2.5,Win32,60.16847172,,,,,,,,,,,,,attn_test,,,,zh2x_8_axa.wav,zh2x_8_exe.wav,exe.jpg,RIGHT,,f,2.3639,space,4.4167,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
