participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
63dcf52406a122c6bdcd054c,2023-06-16_13h58.04.507,phx_ver10,2022.2.5,Win32,4.999075171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63dcf52406a122c6bdcd054c,2023-06-16_13h58.04.507,phx_ver10,2022.2.5,Win32,4.999075171,space,4.3213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63dcf52406a122c6bdcd054c,2023-06-16_13h58.04.507,phx_ver10,2022.2.5,Win32,4.999075171,,,space,2.583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63dcf52406a122c6bdcd054c,2023-06-16_13h58.04.507,phx_ver10,2022.2.5,Win32,4.999075171,,,,,space,1.5575,0,0,0,24,1,25,training,zh2x,e,zh2x_e,zh2x_5_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63dcf52406a122c6bdcd054c,2023-06-16_13h58.04.507,phx_ver10,2022.2.5,Win32,4.999075171,,,,,space,1.4278,0,1,1,36,1,37,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63dcf52406a122c6bdcd054c,2023-06-16_13h58.04.507,phx_ver10,2022.2.5,Win32,4.999075171,,,,,space,1.9208,0,2,2,20,1,21,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63dcf52406a122c6bdcd054c,2023-06-16_13h58.04.507,phx_ver10,2022.2.5,Win32,4.999075171,,,,,space,1.6602,0,3,3,26,1,27,training,zh2x,e,zh2x_e,zh2x_6_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63dcf52406a122c6bdcd054c,2023-06-16_13h58.04.507,phx_ver10,2022.2.5,Win32,4.999075171,,,,,space,0.9825,0,4,4,9,1,10,training,zh2x,a,zh2x_a,zh2x_6_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63dcf52406a122c6bdcd054c,2023-06-16_13h58.04.507,phx_ver10,2022.2.5,Win32,4.999075171,,,,,space,1.6853,0,5,5,6,1,7,training,zh2x,a,zh2x_a,zh2x_3_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63dcf52406a122c6bdcd054c,2023-06-16_13h58.04.507,phx_ver10,2022.2.5,Win32,4.999075171,,,,,,,,,,,,,attn_test,,,,zh2x_8_exe.wav,zh2x_1_izhi.wav,exe.jpg,LEFT,,f,9.9662,space,11.3784,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
63dcf52406a122c6bdcd054c,2023-06-16_13h58.04.507,phx_ver10,2022.2.5,Win32,4.999075171,,,,,space,1.3004,0,6,6,39,1,40,training,zh2x,i,zh2x_i,zh2x_4_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63dcf52406a122c6bdcd054c,2023-06-16_13h58.04.507,phx_ver10,2022.2.5,Win32,4.999075171,,,,,space,2.285,0,7,7,38,1,39,training,zh2x,i,zh2x_i,zh2x_3_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63dcf52406a122c6bdcd054c,2023-06-16_13h58.04.507,phx_ver10,2022.2.5,Win32,4.999075171,,,,,space,1.4144,0,8,8,8,1,9,training,zh2x,a,zh2x_a,zh2x_5_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63dcf52406a122c6bdcd054c,2023-06-16_13h58.04.507,phx_ver10,2022.2.5,Win32,4.999075171,,,,,space,0.2753,0,9,9,11,1,12,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63dcf52406a122c6bdcd054c,2023-06-16_13h58.04.507,phx_ver10,2022.2.5,Win32,4.999075171,,,,,space,0.9993,0,10,10,0,1,1,training,zh2x,a,zh2x_a,zh2x_1_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63dcf52406a122c6bdcd054c,2023-06-16_13h58.04.507,phx_ver10,2022.2.5,Win32,4.999075171,,,,,space,1.0065,0,11,11,44,1,45,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63dcf52406a122c6bdcd054c,2023-06-16_13h58.04.507,phx_ver10,2022.2.5,Win32,4.999075171,,,,,,,,,,,,,attn_test,,,,zh2x_8_ixi.wav,zh2x_8_axa.wav,axa.jpg,RIGHT,,j,4.7814,space,6.0855,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
