participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
63e529b9c964037317069e6e,2023-06-16_10h16.22.460,phx_ver10,2022.2.5,Win32,60.48874909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63e529b9c964037317069e6e,2023-06-16_10h16.22.460,phx_ver10,2022.2.5,Win32,60.48874909,space,3.7968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63e529b9c964037317069e6e,2023-06-16_10h16.22.460,phx_ver10,2022.2.5,Win32,60.48874909,,,space,5.6166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63e529b9c964037317069e6e,2023-06-16_10h16.22.460,phx_ver10,2022.2.5,Win32,60.48874909,,,,,space,1.6343,0,0,0,14,1,15,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63e529b9c964037317069e6e,2023-06-16_10h16.22.460,phx_ver10,2022.2.5,Win32,60.48874909,,,,,space,0.676,0,1,1,41,1,42,training,zh2x,i,zh2x_i,zh2x_6_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63e529b9c964037317069e6e,2023-06-16_10h16.22.460,phx_ver10,2022.2.5,Win32,60.48874909,,,,,space,1.0416,0,2,2,47,1,48,training,zh2x,i,zh2x_i,zh2x_8_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63e529b9c964037317069e6e,2023-06-16_10h16.22.460,phx_ver10,2022.2.5,Win32,60.48874909,,,,,space,0.6336,0,3,3,13,1,14,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63e529b9c964037317069e6e,2023-06-16_10h16.22.460,phx_ver10,2022.2.5,Win32,60.48874909,,,,,space,3.7646,0,4,4,8,1,9,training,zh2x,a,zh2x_a,zh2x_5_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63e529b9c964037317069e6e,2023-06-16_10h16.22.460,phx_ver10,2022.2.5,Win32,60.48874909,,,,,space,0.4129,0,5,5,29,1,30,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63e529b9c964037317069e6e,2023-06-16_10h16.22.460,phx_ver10,2022.2.5,Win32,60.48874909,,,,,,,,,,,,,attn_test,,,,zh2x_1_izhi.wav,zh2x_8_ixi.wav,ixi.jpg,RIGHT,,j,3.2828,space,4.9,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
63e529b9c964037317069e6e,2023-06-16_10h16.22.460,phx_ver10,2022.2.5,Win32,60.48874909,,,,,space,1.2154,0,6,6,4,1,5,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63e529b9c964037317069e6e,2023-06-16_10h16.22.460,phx_ver10,2022.2.5,Win32,60.48874909,,,,,space,0.6108,0,7,7,37,1,38,training,zh2x,i,zh2x_i,zh2x_3_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63e529b9c964037317069e6e,2023-06-16_10h16.22.460,phx_ver10,2022.2.5,Win32,60.48874909,,,,,space,0.4296,0,8,8,33,1,34,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63e529b9c964037317069e6e,2023-06-16_10h16.22.460,phx_ver10,2022.2.5,Win32,60.48874909,,,,,space,0.4424,0,9,9,10,1,11,training,zh2x,a,zh2x_a,zh2x_6_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63e529b9c964037317069e6e,2023-06-16_10h16.22.460,phx_ver10,2022.2.5,Win32,60.48874909,,,,,space,0.4743,0,10,10,28,1,29,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63e529b9c964037317069e6e,2023-06-16_10h16.22.460,phx_ver10,2022.2.5,Win32,60.48874909,,,,,space,0.2444,0,11,11,36,1,37,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63e529b9c964037317069e6e,2023-06-16_10h16.22.460,phx_ver10,2022.2.5,Win32,60.48874909,,,,,,,,,,,,,attn_test,,,,zh2x_8_ixi.wav,zh2x_1_izhi.wav,izhi.jpg,RIGHT,,j,3.4798,space,3.8226,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
63e529b9c964037317069e6e,2023-06-16_10h16.22.460,phx_ver10,2022.2.5,Win32,60.48874909,,,,,space,0.468,0,12,12,12,1,13,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63e529b9c964037317069e6e,2023-06-16_10h16.22.460,phx_ver10,2022.2.5,Win32,60.48874909,,,,,space,0.36,0,13,13,24,1,25,training,zh2x,e,zh2x_e,zh2x_5_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63e529b9c964037317069e6e,2023-06-16_10h16.22.460,phx_ver10,2022.2.5,Win32,60.48874909,,,,,space,0.0956,0,14,14,25,1,26,training,zh2x,e,zh2x_e,zh2x_6_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63e529b9c964037317069e6e,2023-06-16_10h16.22.460,phx_ver10,2022.2.5,Win32,60.48874909,,,,,space,0.1306,0,15,15,43,1,44,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63e529b9c964037317069e6e,2023-06-16_10h16.22.460,phx_ver10,2022.2.5,Win32,60.48874909,,,,,space,0.0807,0,16,16,15,1,16,training,zh2x,a,zh2x_a,zh2x_8_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63e529b9c964037317069e6e,2023-06-16_10h16.22.460,phx_ver10,2022.2.5,Win32,60.48874909,,,,,space,0.0745,0,17,17,30,1,31,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63e529b9c964037317069e6e,2023-06-16_10h16.22.460,phx_ver10,2022.2.5,Win32,60.48874909,,,,,,,,,,,,,attn_test,,,,zh2x_8_axa.wav,zh2x_8_exe.wav,axa.jpg,LEFT,,f,4.8707,space,5.2161,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
