participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
63ebd39a63bb79b50d438ab7,2023-06-16_13h57.24.564,phx_ver10,2022.2.5,Win32,59.90534955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63ebd39a63bb79b50d438ab7,2023-06-16_13h57.24.564,phx_ver10,2022.2.5,Win32,59.90534955,space,65.6871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63ebd39a63bb79b50d438ab7,2023-06-16_13h57.24.564,phx_ver10,2022.2.5,Win32,59.90534955,,,space,2.7482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63ebd39a63bb79b50d438ab7,2023-06-16_13h57.24.564,phx_ver10,2022.2.5,Win32,59.90534955,,,,,space,7.7992,0,0,0,28,1,29,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63ebd39a63bb79b50d438ab7,2023-06-16_13h57.24.564,phx_ver10,2022.2.5,Win32,59.90534955,,,,,space,3.7649,0,1,1,8,1,9,training,zh2x,a,zh2x_a,zh2x_5_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63ebd39a63bb79b50d438ab7,2023-06-16_13h57.24.564,phx_ver10,2022.2.5,Win32,59.90534955,,,,,space,0.5357,0,2,2,9,1,10,training,zh2x,a,zh2x_a,zh2x_6_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63ebd39a63bb79b50d438ab7,2023-06-16_13h57.24.564,phx_ver10,2022.2.5,Win32,59.90534955,,,,,space,0.6517,0,3,3,37,1,38,training,zh2x,i,zh2x_i,zh2x_3_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63ebd39a63bb79b50d438ab7,2023-06-16_13h57.24.564,phx_ver10,2022.2.5,Win32,59.90534955,,,,,space,0.3873,0,4,4,29,1,30,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63ebd39a63bb79b50d438ab7,2023-06-16_13h57.24.564,phx_ver10,2022.2.5,Win32,59.90534955,,,,,space,0.5184,0,5,5,6,1,7,training,zh2x,a,zh2x_a,zh2x_3_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63ebd39a63bb79b50d438ab7,2023-06-16_13h57.24.564,phx_ver10,2022.2.5,Win32,59.90534955,,,,,,,,,,,,,attn_test,,,,zh2x_8_exe.wav,zh2x_8_axa.wav,axa.jpg,RIGHT,,j,7.3276,space,8.7104,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
