participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
63f6262642c9fc5e3c002287,2023-06-16_10h27.52.310,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63f6262642c9fc5e3c002287,2023-06-16_10h27.52.310,phx_ver10,2022.2.5,MacIntel,60.0024001,space,1.3325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63f6262642c9fc5e3c002287,2023-06-16_10h27.52.310,phx_ver10,2022.2.5,MacIntel,60.0024001,,,space,0.8906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63f6262642c9fc5e3c002287,2023-06-16_10h27.52.310,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,3.2447,0,0,0,35,1,36,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63f6262642c9fc5e3c002287,2023-06-16_10h27.52.310,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,0.7276,0,1,1,10,1,11,training,zh2x,a,zh2x_a,zh2x_6_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63f6262642c9fc5e3c002287,2023-06-16_10h27.52.310,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,1.1489,0,2,2,29,1,30,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63f6262642c9fc5e3c002287,2023-06-16_10h27.52.310,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,0.2431,0,3,3,44,1,45,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63f6262642c9fc5e3c002287,2023-06-16_10h27.52.310,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,0.7192,0,4,4,27,1,28,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63f6262642c9fc5e3c002287,2023-06-16_10h27.52.310,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,0.08,0,5,5,8,1,9,training,zh2x,a,zh2x_a,zh2x_5_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63f6262642c9fc5e3c002287,2023-06-16_10h27.52.310,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,,,,,,,,,attn_test,,,,zh2x_1_ezhe.wav,zh2x_8_exe.wav,exe.jpg,RIGHT,,f,2.1317,space,3.8087,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
