participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
6400caf68d8b75041e36f702,2023-06-16_04h59.47.341,phx_ver10,2022.2.5,Win32,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6400caf68d8b75041e36f702,2023-06-16_04h59.47.341,phx_ver10,2022.2.5,Win32,62.5,space,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6400caf68d8b75041e36f702,2023-06-16_04h59.47.341,phx_ver10,2022.2.5,Win32,62.5,,,space,8.253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6400caf68d8b75041e36f702,2023-06-16_04h59.47.341,phx_ver10,2022.2.5,Win32,62.5,,,,,space,84.716,0,0,0,0,1,1,training,zh2x,a,zh2x_a,zh2x_1_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6400caf68d8b75041e36f702,2023-06-16_04h59.47.341,phx_ver10,2022.2.5,Win32,62.5,,,,,space,6.744,0,1,1,6,1,7,training,zh2x,a,zh2x_a,zh2x_3_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6400caf68d8b75041e36f702,2023-06-16_04h59.47.341,phx_ver10,2022.2.5,Win32,62.5,,,,,space,4.056,0,2,2,13,1,14,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6400caf68d8b75041e36f702,2023-06-16_04h59.47.341,phx_ver10,2022.2.5,Win32,62.5,,,,,space,1.082,0,3,3,9,1,10,training,zh2x,a,zh2x_a,zh2x_6_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6400caf68d8b75041e36f702,2023-06-16_04h59.47.341,phx_ver10,2022.2.5,Win32,62.5,,,,,space,1.921,0,4,4,45,1,46,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6400caf68d8b75041e36f702,2023-06-16_04h59.47.341,phx_ver10,2022.2.5,Win32,62.5,,,,,space,0.768,0,5,5,34,1,35,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6400caf68d8b75041e36f702,2023-06-16_04h59.47.341,phx_ver10,2022.2.5,Win32,62.5,,,,,,,,,,,,,attn_test,,,,zh2x_8_exe.wav,zh2x_8_ixi.wav,ixi.jpg,RIGHT,,f,9.382,space,11.46,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
6400caf68d8b75041e36f702,2023-06-16_04h59.47.341,phx_ver10,2022.2.5,Win32,62.5,,,,,space,0.849,0,6,6,44,1,45,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6400caf68d8b75041e36f702,2023-06-16_04h59.47.341,phx_ver10,2022.2.5,Win32,62.5,,,,,space,0.552,0,7,7,24,1,25,training,zh2x,e,zh2x_e,zh2x_5_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6400caf68d8b75041e36f702,2023-06-16_04h59.47.341,phx_ver10,2022.2.5,Win32,62.5,,,,,space,0.252,0,8,8,38,1,39,training,zh2x,i,zh2x_i,zh2x_3_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6400caf68d8b75041e36f702,2023-06-16_04h59.47.341,phx_ver10,2022.2.5,Win32,62.5,,,,,space,0.33,0,9,9,22,1,23,training,zh2x,e,zh2x_e,zh2x_3_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6400caf68d8b75041e36f702,2023-06-16_04h59.47.341,phx_ver10,2022.2.5,Win32,62.5,,,,,space,1.669,0,10,10,5,1,6,training,zh2x,a,zh2x_a,zh2x_3_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6400caf68d8b75041e36f702,2023-06-16_04h59.47.341,phx_ver10,2022.2.5,Win32,62.5,,,,,space,7.853,0,11,11,27,1,28,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
