participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
644033d42bdd7e1f439f4d64,2023-06-16_18h56.10.420,phx_ver10,2022.2.5,Win32,60.06006006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644033d42bdd7e1f439f4d64,2023-06-16_18h56.10.420,phx_ver10,2022.2.5,Win32,60.06006006,space,1.3259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644033d42bdd7e1f439f4d64,2023-06-16_18h56.10.420,phx_ver10,2022.2.5,Win32,60.06006006,,,space,0.7495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644033d42bdd7e1f439f4d64,2023-06-16_18h56.10.420,phx_ver10,2022.2.5,Win32,60.06006006,,,,,space,0.9672,0,0,0,19,1,20,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644033d42bdd7e1f439f4d64,2023-06-16_18h56.10.420,phx_ver10,2022.2.5,Win32,60.06006006,,,,,space,0.6083,0,1,1,25,1,26,training,zh2x,e,zh2x_e,zh2x_6_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644033d42bdd7e1f439f4d64,2023-06-16_18h56.10.420,phx_ver10,2022.2.5,Win32,60.06006006,,,,,space,0.7417,0,2,2,13,1,14,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644033d42bdd7e1f439f4d64,2023-06-16_18h56.10.420,phx_ver10,2022.2.5,Win32,60.06006006,,,,,space,0.734,0,3,3,47,1,48,training,zh2x,i,zh2x_i,zh2x_8_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644033d42bdd7e1f439f4d64,2023-06-16_18h56.10.420,phx_ver10,2022.2.5,Win32,60.06006006,,,,,space,0.5175,0,4,4,40,1,41,training,zh2x,i,zh2x_i,zh2x_5_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644033d42bdd7e1f439f4d64,2023-06-16_18h56.10.420,phx_ver10,2022.2.5,Win32,60.06006006,,,,,space,1.3495,0,5,5,15,1,16,training,zh2x,a,zh2x_a,zh2x_8_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644033d42bdd7e1f439f4d64,2023-06-16_18h56.10.420,phx_ver10,2022.2.5,Win32,60.06006006,,,,,,,,,,,,,attn_test,,,,zh2x_8_exe.wav,zh2x_8_axa.wav,exe.jpg,LEFT,,j,0.3206,space,1.799,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
644033d42bdd7e1f439f4d64,2023-06-16_18h56.10.420,phx_ver10,2022.2.5,Win32,60.06006006,,,,,space,0.6673,0,6,6,10,1,11,training,zh2x,a,zh2x_a,zh2x_6_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
