participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
64747a8c5534905fb3f93e39,2023-06-16_19h28.45.507,phx_ver10,2022.2.5,Win32,60.27364234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64747a8c5534905fb3f93e39,2023-06-16_19h28.45.507,phx_ver10,2022.2.5,Win32,60.27364234,space,1.821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64747a8c5534905fb3f93e39,2023-06-16_19h28.45.507,phx_ver10,2022.2.5,Win32,60.27364234,,,space,1.9142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64747a8c5534905fb3f93e39,2023-06-16_19h28.45.507,phx_ver10,2022.2.5,Win32,60.27364234,,,,,space,4.0781,0,0,0,39,1,40,training,zh2x,i,zh2x_i,zh2x_4_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64747a8c5534905fb3f93e39,2023-06-16_19h28.45.507,phx_ver10,2022.2.5,Win32,60.27364234,,,,,space,0.9121,0,1,1,23,1,24,training,zh2x,e,zh2x_e,zh2x_4_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64747a8c5534905fb3f93e39,2023-06-16_19h28.45.507,phx_ver10,2022.2.5,Win32,60.27364234,,,,,space,1.8826,0,2,2,30,1,31,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64747a8c5534905fb3f93e39,2023-06-16_19h28.45.507,phx_ver10,2022.2.5,Win32,60.27364234,,,,,space,1.417,0,3,3,17,1,18,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64747a8c5534905fb3f93e39,2023-06-16_19h28.45.507,phx_ver10,2022.2.5,Win32,60.27364234,,,,,space,0.4295,0,4,4,12,1,13,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64747a8c5534905fb3f93e39,2023-06-16_19h28.45.507,phx_ver10,2022.2.5,Win32,60.27364234,,,,,space,0.8555,0,5,5,11,1,12,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64747a8c5534905fb3f93e39,2023-06-16_19h28.45.507,phx_ver10,2022.2.5,Win32,60.27364234,,,,,,,,,,,,,attn_test,,,,zh2x_1_azha.wav,zh2x_1_ezhe.wav,ezhe.jpg,RIGHT,,j,0.7486,space,2.3921,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
64747a8c5534905fb3f93e39,2023-06-16_19h28.45.507,phx_ver10,2022.2.5,Win32,60.27364234,,,,,space,0.4508,0,6,6,28,1,29,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64747a8c5534905fb3f93e39,2023-06-16_19h28.45.507,phx_ver10,2022.2.5,Win32,60.27364234,,,,,space,0.201,0,7,7,40,1,41,training,zh2x,i,zh2x_i,zh2x_5_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64747a8c5534905fb3f93e39,2023-06-16_19h28.45.507,phx_ver10,2022.2.5,Win32,60.27364234,,,,,space,0.1527,0,8,8,9,1,10,training,zh2x,a,zh2x_a,zh2x_6_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64747a8c5534905fb3f93e39,2023-06-16_19h28.45.507,phx_ver10,2022.2.5,Win32,60.27364234,,,,,space,0.1773,0,9,9,0,1,1,training,zh2x,a,zh2x_a,zh2x_1_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
