participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
648174282bcdf5119b9105ca,2023-06-16_10h13.44.677,phx_ver10,2022.2.5,Win32,59.59475566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648174282bcdf5119b9105ca,2023-06-16_10h13.44.677,phx_ver10,2022.2.5,Win32,59.59475566,space,8.7672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648174282bcdf5119b9105ca,2023-06-16_10h13.44.677,phx_ver10,2022.2.5,Win32,59.59475566,,,space,4.2837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648174282bcdf5119b9105ca,2023-06-16_10h13.44.677,phx_ver10,2022.2.5,Win32,59.59475566,,,,,space,2.0375,0,0,0,23,1,24,training,zh2x,e,zh2x_e,zh2x_4_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648174282bcdf5119b9105ca,2023-06-16_10h13.44.677,phx_ver10,2022.2.5,Win32,59.59475566,,,,,space,1.1854,0,1,1,24,1,25,training,zh2x,e,zh2x_e,zh2x_5_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648174282bcdf5119b9105ca,2023-06-16_10h13.44.677,phx_ver10,2022.2.5,Win32,59.59475566,,,,,space,2.766900001,0,2,2,13,1,14,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648174282bcdf5119b9105ca,2023-06-16_10h13.44.677,phx_ver10,2022.2.5,Win32,59.59475566,,,,,space,1.9148,0,3,3,34,1,35,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648174282bcdf5119b9105ca,2023-06-16_10h13.44.677,phx_ver10,2022.2.5,Win32,59.59475566,,,,,space,1.8855,0,4,4,30,1,31,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648174282bcdf5119b9105ca,2023-06-16_10h13.44.677,phx_ver10,2022.2.5,Win32,59.59475566,,,,,space,0.9839,0,5,5,37,1,38,training,zh2x,i,zh2x_i,zh2x_3_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648174282bcdf5119b9105ca,2023-06-16_10h13.44.677,phx_ver10,2022.2.5,Win32,59.59475566,,,,,,,,,,,,,attn_test,,,,zh2x_1_izhi.wav,zh2x_8_ixi.wav,izhi.jpg,LEFT,,j,16.416,space,17.8634,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
648174282bcdf5119b9105ca,2023-06-16_10h13.44.677,phx_ver10,2022.2.5,Win32,59.59475566,,,,,space,2.267400001,0,6,6,43,1,44,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648174282bcdf5119b9105ca,2023-06-16_10h13.44.677,phx_ver10,2022.2.5,Win32,59.59475566,,,,,space,1.2023,0,7,7,33,1,34,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648174282bcdf5119b9105ca,2023-06-16_10h13.44.677,phx_ver10,2022.2.5,Win32,59.59475566,,,,,space,1.1877,0,8,8,15,1,16,training,zh2x,a,zh2x_a,zh2x_8_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648174282bcdf5119b9105ca,2023-06-16_10h13.44.677,phx_ver10,2022.2.5,Win32,59.59475566,,,,,space,0.6263,0,9,9,4,1,5,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648174282bcdf5119b9105ca,2023-06-16_10h13.44.677,phx_ver10,2022.2.5,Win32,59.59475566,,,,,space,0.2575,0,10,10,3,1,4,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648174282bcdf5119b9105ca,2023-06-16_10h13.44.677,phx_ver10,2022.2.5,Win32,59.59475566,,,,,space,0.4358,0,11,11,11,1,12,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648174282bcdf5119b9105ca,2023-06-16_10h13.44.677,phx_ver10,2022.2.5,Win32,59.59475566,,,,,,,,,,,,,attn_test,,,,zh2x_8_ixi.wav,zh2x_1_izhi.wav,ixi.jpg,LEFT,,f,1.8175,space,3.1837,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
648174282bcdf5119b9105ca,2023-06-16_10h13.44.677,phx_ver10,2022.2.5,Win32,59.59475566,,,,,space,1.3171,0,12,12,32,1,33,training,zh2x,i,zh2x_i,zh2x_1_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648174282bcdf5119b9105ca,2023-06-16_10h13.44.677,phx_ver10,2022.2.5,Win32,59.59475566,,,,,space,1.0954,0,13,13,1,1,2,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648174282bcdf5119b9105ca,2023-06-16_10h13.44.677,phx_ver10,2022.2.5,Win32,59.59475566,,,,,space,0.5443,0,14,14,2,1,3,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648174282bcdf5119b9105ca,2023-06-16_10h13.44.677,phx_ver10,2022.2.5,Win32,59.59475566,,,,,space,0.8072,0,15,15,16,1,17,training,zh2x,e,zh2x_e,zh2x_1_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648174282bcdf5119b9105ca,2023-06-16_10h13.44.677,phx_ver10,2022.2.5,Win32,59.59475566,,,,,space,0.4704,0,16,16,31,1,32,training,zh2x,e,zh2x_e,zh2x_8_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
