Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
648c1cf0e9ff4d7be0c2806d,5ea8d68a37c5173456c94f50,APPROVED,2023-06-16T08:27:33.836000Z,2023-06-16T08:41:58.207000Z,2023-06-16T08:41:58.717000,2023-06-16T08:41:58.657317Z,865,C14AO3VL,272,27,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
648c1dd0b0f6232e9ac866c9,63e5fdff7b61e61659be8eec,APPROVED,2023-06-16T08:37:59.764000Z,2023-06-16T09:19:35.895000Z,2023-06-16T09:19:36.518000,2023-06-16T09:19:36.419880Z,2497,C14AO3VL,80,19,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
648c1e0a7aeb306461af34c2,601f15c863401440ef711b68,APPROVED,2023-06-16T08:32:15.155000Z,2023-06-16T08:46:45.665000Z,2023-06-16T08:46:46.240000,2023-06-16T08:46:46.176231Z,871,C14AO3VL,522,38,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
648c1e3c10b0cf38cbb86548,5c79cc22f5b67c0012d5b9ed,APPROVED,2023-06-16T08:33:07.993000Z,2023-06-16T08:52:30.113000Z,2023-06-16T08:52:30.726000,2023-06-16T08:52:30.625891Z,1163,C14AO3VL,159,25,Female,White,Australia,Australia,Australia,English,DATA_EXPIRED,DATA_EXPIRED
648c1f21efb2cc2ca69cb8dd,5b7ffeeb05fbbd00016aa0bc,APPROVED,2023-06-16T08:36:49.328000Z,2023-06-16T08:49:53.378000Z,2023-06-16T08:49:54.136000,2023-06-16T08:49:54.034842Z,785,C14AO3VL,990,43,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other
648c1f4f63eecbc0db660178,5f30fff39031820144a7b83f,APPROVED,2023-06-16T08:37:40.579000Z,2023-06-16T08:50:49.965000Z,2023-06-16T08:50:50.744000,2023-06-16T08:50:50.616668Z,790,C14AO3VL,672,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
648c200d6d7bb7f3ecbcaf64,60977fd69248772da45d3bd3,APPROVED,2023-06-16T08:43:21.061000Z,2023-06-16T08:57:15.930000Z,2023-06-16T08:57:16.465000,2023-06-16T08:57:16.391256Z,835,C14AO3VL,90,41,Female,White,New Zealand,New Zealand,New Zealand,English,No,Full-Time
648c20b875b43b10d7de9a85,5a4e26a8f4c9dc0001b7a1b5,APPROVED,2023-06-16T08:43:41.592000Z,2023-06-16T12:53:25.811000Z,2023-06-16T12:53:26.645000Z,,14985,Manual Completion,931,39,Female,White,Ireland,United Kingdom,Ireland,English,No,Part-Time
648c20e91b6d5dba178b4546,6385d65534631eaaa70c6f33,APPROVED,2023-06-16T08:44:25.283000Z,2023-06-16T08:56:07.179000Z,2023-06-16T08:56:07.781000,2023-06-16T08:56:07.687190Z,702,C14AO3VL,72,39,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
648c212b9ff7421b1c49b6d7,631484e678fa2ffd8550a079,APPROVED,2023-06-16T08:45:38.496000Z,2023-06-16T08:58:05.003000Z,2023-06-16T08:58:05.738000,2023-06-16T08:58:05.665894Z,747,C14AO3VL,23,32,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
